#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2022-03-10 10:19:08.069
#Sample rate: 400Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-13.004999999999999,0.00171164951395453,0.17831182719607896
-13.002500000000001,4.251255724566625e-05,0.17100952696658947
-13,-0.0009589696167816254,0.16735837685183644
-12.997499999999999,-0.0016266243994662337,0.16735837685183477
-12.995000000000001,-0.001960451790808006,0.16370722673709007
-12.9925,-0.0022942791821502343,0.15640492650759394
-12.989999999999998,-0.0026281065734924626,0.14545147616334642
-12.9875,-0.0026281065734924626,0.1418003260486017
-12.985,-0.0019604517908083097,0.13449802581910225
-12.982499999999998,-0.00162662439946593,0.13084687570435252
-12.98,-0.0009589696167823843,0.1271957255896078
-12.9775,-0.0002913148340979282,0.12354457547485807
-12.975000000000001,0.0007101673399273898,0.12354457547485807
-12.9725,0.0017116495139540746,0.12354457547485807
-12.969999999999999,0.002045476905296606,0.12719572558960612
-12.967500000000001,0.002379304296638379,0.12719572558960612
-12.965,0.0020454769052967578,0.12354457547485974
-12.962499999999999,0.00171164951395453,0.1308468757043542
-12.96,0.0010439947312709842,0.13449802581909892
-12.9575,0.0007101673399283008,0.13449802581910225
-12.954999999999998,-0.00029131483409808,0.13449802581910392
-12.9525,-0.0006251422254398527,0.13814917593384865
-12.95,-0.0012927970081241572,0.14910262627809448
-12.947500000000002,-0.0012927970081241572,0.15640492650758397
-12.945,-0.0016266243994660819,0.160056076622337
-12.942499999999999,-0.0019604517908083097,0.15275377639284254
-12.940000000000001,-0.0019604517908083097,0.16005607662233204
-12.9375,-0.0016266243994663854,0.16370722673708507
-12.934999999999999,-0.0009589696167820808,0.17831182719607896
-12.932500000000001,0.0023793042966356462,0.18926527754031316
-12.93,0.0010439947312709842,0.2695905800647439
-12.927499999999998,-0.0016266243994662337,0.0030566216881721345
-12.925,0.0003763399485844027,0.31340438144147487
-12.9225,0.0030469590793228353,0.14545147616334642
-12.919999999999998,0.002045476905296606,0.22212562857301085
-12.9175,0.002045476905296606,0.1235445754749029
-12.915,0.004382268644691141,0.29514863086801685
-12.912500000000001,0.005049923427374686,0.16735837685195099
-12.91,0.004048441253349519,0.21482332834353796
-12.907499999999999,0.004716096036033217,0.18926527754032313
-12.905000000000001,0.004048441253349671,0.18196297731083366
-12.9025,0.0030469590793232907,0.1673583768518414
-12.899999999999999,0.0030469590793228353,0.18196297731082703
-12.8975,0.0037146138620063806,0.16370722673710333
-12.895,0.0037146138620069878,0.1564049265075906
-12.892499999999998,0.0037146138620069878,0.15275377639284254
-12.89,0.0037146138620069878,0.15275377639284254
-12.8875,0.00805436994945398,0.1929164276550712
-12.885000000000002,-0.011641446139710611,0.15640492650762383
-12.8825,-0.004631070921548108,0.09798652467164823
-12.879999999999999,-0.014312065270465135,0.14545147616334642
-12.877500000000001,0.006385232992724775,0.12719572558962272
-12.875,0.03175611473472986,0.13084687570435252
-12.872499999999999,0.04377390082305615,0.10893997501586584
-12.870000000000001,0.05145193082391692,0.09798652467163163
-12.8675,0.059797615607472016,0.09798652467162167
-12.864999999999998,0.07448602082652717,0.1308468757043542
-12.8625,0.08717146169751454,0.14545147616333312
-12.86,0.08583615213215777,0.11624227524536196
-12.857499999999998,0.07782429473994293,0.11624227524535864
-12.855,0.06680799082566442,0.10893997501586916
-12.8525,0.0641373716949228,0.12719572558960612
-12.850000000000001,0.07081391952175825,0.11624227524537192
-12.8475,0.06547268126029354,0.13084687570434755
-12.844999999999999,0.06480502647760696,0.13449802581910225
-12.842500000000001,0.06814330039102469,0.13814917593384698
-12.84,0.07682281256591776,0.14180032604859671
-12.837499999999999,0.08850677126289438,0.16005607662233867
-12.835,0.08750528908886906,0.1454514761633597
-12.8325,0.13791322518152166,0.14545147616334642
-12.829999999999998,0.23806144258412484,0.14545147616335305
